"ID","Name","IsActive","Primary_Supplier__c","Product_Image__c","STATUS"
"01tdL00000ZL2fNQAT","Burgundy Formal Shirt","TRUE","001dL00001sXyPBQA0","/resource/Shirts/shirts/Formal-Shirt-(burgundy).png","Item Created"
"01tdL00000ZL2fOQAT","Green Formal Shirt","TRUE","001dL00001sXyPBQA0","/resource/Shirts/shirts/Formal-Shirt-(green).png","Item Created"
"01tdL00000ZL2fPQAT","Patent Black Oxford Shoes","TRUE","001dL00001sXygvQAC","/resource/Shoes/shoes/Formal-Shoe-(blackpatent-oxford).png","Item Created"
"01tdL00000ZL2fQQAT","Blue Oxford Shoes","TRUE","001dL00001sXygvQAC","/resource/Shoes/shoes/Formal-Shoe-(blue-oxford).png","Item Created"
"01tdL00000ZL2fRQAT","Brown Oxford Shoe","TRUE","001dL00001sXygvQAC","/resource/Shoes/shoes/Formal-Shoe-(brown-oxford).png","Item Created"
"01tdL00000ZL2fSQAT","Brown Socks","TRUE","001dL00001sXyU1QAK","/resource/Socks/socks/Formal-Socks-(brown).png","Item Created"
"01tdL00000ZL2fTQAT","Green Socks","TRUE","001dL00001sXyU1QAK","/resource/Socks/socks/Formal-Socks-(green).png","Item Created"
"01tdL00000ZL2fUQAT","Blue Suit","TRUE","001dL00001sXyiXQAS","/resource/Suits/suits/Formal-Suit-(blue).png","Item Created"
"01tdL00000ZL2fVQAT","Grey Suit","TRUE","001dL00001sXyiXQAS","/resource/Suits/suits/Formal-Suit-(grey).png","Item Created"
"01tdL00000ZL2fWQAT","Green Silk Tie","TRUE","001dL00001sXJ4KQAW","/resource/Ties/ties/Formal-Tie-(green-silk).png","Item Created"
"01tdL00000ZL2fXQAT","Maroon Silk Tie","TRUE","001dL00001sXJ4KQAW","/resource/Ties/ties/Formal-Tie-(maroon-silk).png","Item Created"
"01tdL00000ZL2fYQAT","Navy Silk Tie","TRUE","001dL00001sXJ4KQAW","/resource/Ties/ties/Formal-Tie-(navy-silk).png","Item Created"
